condition,altitude_m,tas_mps,mach,alpha_deg,beta_deg,control_name,control_deg,throttle,fuel_flow_kg_s,valid
cruise,10668,231.297620782,0.78,4.56411437669,0,tail_incidence,-2.11159649,0.869463609365,0.638410385684,true
dash,10668,231.297620069,0.779999997597,4.61571209833,0,tail_incidence,-2.11159649,0.878389624789,0.64440532838,true
