altitude_m,mach,throttle,effective_throttle,thrust_n,fuel_flow_kg_s,tsfc_kg_per_n_s,source_model,clamped
310.01817,0,0.5,0.5,97.0574448732,0.00386889238509,3.98618816944e-05,analytic_lapse_tsfc,false
310.01817,0,0.75,0.75,145.58616731,0.00515852318013,3.54327837283e-05,analytic_lapse_tsfc,false
310.01817,0,1,1,194.114889746,0.00644815397516,3.32182347453e-05,analytic_lapse_tsfc,false
310.01817,0.12,0.18,0.18,33.4731715879,0.00216325207552,6.46264447885e-05,analytic_lapse_tsfc,false
310.01817,0.12,0.25,0.25,46.4905160942,0.00251540939014,5.41058607532e-05,analytic_lapse_tsfc,false
310.01817,0.12,0.5,0.5,92.9810321885,0.00377311408521,4.05793955649e-05,analytic_lapse_tsfc,false
310.01817,0.12,0.75,0.75,139.471548283,0.00503081878028,3.60705738355e-05,analytic_lapse_tsfc,false
310.01817,0.12,1,1,185.962064377,0.00628852347535,3.38161629707e-05,analytic_lapse_tsfc,false
310.01817,0.3,0.18,0.18,31.2719087381,0.00207459423994,6.63405057014e-05,analytic_lapse_tsfc,false
310.01817,0.3,0.25,0.25,43.4332065807,0.00241231888365,5.55408884942e-05,analytic_lapse_tsfc,false
310.01817,0.3,0.5,0.5,86.8664131615,0.00361847832547,4.16556663706e-05,analytic_lapse_tsfc,false
310.01817,0.3,0.75,0.75,130.299619742,0.00482463776729,3.70272589961e-05,analytic_lapse_tsfc,false
310.01817,0.3,1,1,173.732826323,0.00603079720911,3.47130553089e-05,analytic_lapse_tsfc,false
4500,0,0.18,0.18,22.8276517001,0.00137849231007,6.03869521133e-05,analytic_lapse_tsfc,false
4500,0,0.25,0.25,31.7050718057,0.00160289803497,5.05565180484e-05,analytic_lapse_tsfc,false
4500,0,0.5,0.5,63.4101436114,0.00240434705246,3.79173885363e-05,analytic_lapse_tsfc,false
4500,0,0.75,0.75,95.1152154171,0.00320579606994,3.37043453656e-05,analytic_lapse_tsfc,false
4500,0,1,1,126.820287223,0.00400724508743,3.15978237802e-05,analytic_lapse_tsfc,false
4500,0.12,0.18,0.18,21.8688903287,0.00134436635445,6.14739172514e-05,analytic_lapse_tsfc,false
4500,0.12,0.25,0.25,30.3734587899,0.00156321669122,5.14665353733e-05,analytic_lapse_tsfc,false
4500,0.12,0.5,0.5,60.7469175797,0.00234482503682,3.85999015299e-05,analytic_lapse_tsfc,false
4500,0.12,0.75,0.75,91.1203763696,0.00312643338243,3.43110235822e-05,analytic_lapse_tsfc,false
4500,0.12,1,1,121.493835159,0.00390804172804,3.21665846083e-05,analytic_lapse_tsfc,false
4500,0.3,0.18,0.18,20.4307482716,0.0012892693953,6.31043649584e-05,analytic_lapse_tsfc,false
4500,0.3,0.25,0.25,28.3760392661,0.00149915045966,5.28315613606e-05,analytic_lapse_tsfc,false
4500,0.3,0.5,0.5,56.7520785322,0.00224872568949,3.96236710204e-05,analytic_lapse_tsfc,false
4500,0.3,0.75,0.75,85.1281177983,0.00299830091931,3.5221040907e-05,analytic_lapse_tsfc,false
4500,0.3,1,1,113.504157064,0.00374787614914,3.30197258504e-05,analytic_lapse_tsfc,false
