condition,altitude_m,tas_mps,mach,alpha_deg,beta_deg,control_name,control_deg,throttle,fuel_flow_kg_s,valid
cruise,310.01817,41.4827004514,0.122331035968,2.69354264032,0,tail_incidence,-1.68945425003,0.221823085109,0.0023724495502,true
dash,100,91.1743490725,0.268230884913,1.18638782129,0,tail_incidence,-1.68945425003,1,0.00621702553303,true
